%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1771787233743343591,1.2,0.0,0.0,0.0,0.0,0.024853770405228293
1771787233760212421,1.2,0.0,0.0,0.0,0.0,0.022622867421881576
1771787233776923656,1.2,0.0,0.0,0.0,0.0,0.020593468619774402
1771787233793392658,1.2,0.0,0.0,0.0,0.0,0.018746717567046822
1771787233810217618,1.2,0.0,0.0,0.0,0.0,0.01706656890313729
1771787233826888561,1.2,0.0,0.0,0.0,0.0,0.015538116182753026
1771787233843321084,1.2,0.0,0.0,0.0,0.0,0.014146476261982066
1771787233859903812,1.2,0.0,0.0,0.0,0.0,0.012880368197472958
1771787233876651763,1.2,0.0,0.0,0.0,0.0,0.011729250461281815
1771787233893624305,1.2,0.0,0.0,0.0,0.0,0.01068008741954296
1771787233910128116,1.2,0.0,0.0,0.0,0.0,0.009727042914497996
1771787233926799058,1.2,0.0,0.0,0.0,0.0,0.008858160122058756
1771787233943179845,1.2,0.0,0.0,0.0,0.0,0.008067966028496354
1771787233960142850,1.2,0.0,0.0,0.0,0.0,0.007348156930840233
1771787233976697444,1.2,0.0,0.0,0.0,0.0,0.0066933186597495364
1771787233993507146,1.2,0.0,0.0,0.0,0.0,0.006033137829205337
1771787234010199069,1.2,0.0,0.0,0.0,0.0,0.004890968262708739
1771787234026617050,1.2,0.0,0.0,0.0,0.0,0.004456019848674053
1771787234043335914,1.2,0.0,0.0,0.0,0.0,0.004060029661570486
1771787234060010433,1.2,0.0,0.0,0.0,0.0,0.0037003389498777572
1771787234076621770,1.2,0.0,0.0,0.0,0.0,0.003371151710169329
1771787234093449354,1.2,0.0,0.0,0.0,0.0,0.00307145209001769
1771787234110246181,1.2,0.0,0.0,0.0,0.0,0.002800259392620408
1771787234126524209,1.2,0.0,0.0,0.0,0.0,0.00255152923300761
1771787234143166065,1.2,0.0,0.0,0.0,0.0,0.0023262176254990052
1771787234160078525,1.2,0.0,0.0,0.0,0.0,0.002120196572047206
1771787234176643848,1.2,0.0,0.0,0.0,0.0,0.0019325212841234674
1771787234193162202,1.2,0.0,0.0,0.0,0.0,0.0017624510302995944
1771787234210034370,1.2,0.0,0.0,0.0,0.0,0.001607100151887586
1771787234226737499,1.2,0.0,0.0,0.0,0.0,0.0014644383080679724
1771787234243439674,1.2,0.0,0.0,0.0,0.0,0.0013362879104570347
1771787234260358333,1.2,0.0,0.0,0.0,0.0,0.0012191985387093318
1771787234276917934,1.2,0.0,0.0,0.0,0.0,0.0011117095716648429
1771787234293410062,1.2,0.0,0.0,0.0,0.0,0.001013791582747725
1771787234310275077,1.2,0.0,0.0,0.0,0.0,0.0009239817978321518
1771787234327028989,1.2,0.0,0.0,0.0,0.0,0.00084289117664893
1771787234343373298,1.2,0.0,0.0,0.0,0.0,0.0007698086671341642
1771787234360044240,1.2,0.0,0.0,0.0,0.0,0.0007019232238500983
1771787234376961469,1.2,0.0,0.0,0.0,0.0,0.0006399156897201053
1771787234393327713,1.2,0.0,0.0,0.0,0.0,0.000521922634618921
1771787234409908294,1.2,0.0,0.0,0.0,0.0,0.00047595008685163975
1771787234426826000,1.2,0.0,0.0,0.0,0.0,0.00043434835388778126
1771787234443390607,1.2,0.0,0.0,0.0,0.0,0.00039712025008276086
1771787234460080385,1.2,0.0,0.0,0.0,0.0,0.00036283818803095613
1771787234476677894,1.2,0.0,0.0,0.0,0.0,0.0003314397207834219
1771787234493203639,1.2,0.0,0.0,0.0,0.0,0.0003022469553877194
1771787234509929895,1.2,0.0,0.0,0.0,0.0,0.0002766912585410175
